id,project,comment,theme,sentiment,sentiment_score,date
1,employee_engagement,"My manager takes time to listen to my concerns and provides helpful feedback.",Manager Effectiveness,positive,0.85,2024-01-15
2,employee_engagement,"I feel like my manager doesn't communicate expectations clearly.",Manager Effectiveness,negative,-0.72,2024-01-16
3,employee_engagement,"Weekly 1:1s have been incredibly valuable for my development.",Manager Effectiveness,positive,0.91,2024-01-17
4,employee_engagement,"There's a lack of transparency from leadership about company direction.",Manager Effectiveness,negative,-0.68,2024-01-18
5,employee_engagement,"My manager is always available when I need guidance.",Manager Effectiveness,positive,0.78,2024-01-19
6,employee_engagement,"Communication from management has been inconsistent lately.",Manager Effectiveness,negative,-0.55,2024-01-20
7,employee_engagement,"I appreciate the open door policy my manager maintains.",Manager Effectiveness,positive,0.82,2024-01-21
8,employee_engagement,"Feedback is rarely given and when it is, it's not constructive.",Manager Effectiveness,negative,-0.81,2024-01-22
9,employee_engagement,"Regular team meetings keep everyone aligned and informed.",Manager Effectiveness,positive,0.73,2024-01-23
10,employee_engagement,"My manager doesn't seem to understand my role or challenges.",Manager Effectiveness,negative,-0.64,2024-01-24
11,employee_engagement,"The communication channels we use are effective.",Manager Effectiveness,neutral,0.12,2024-01-25
12,employee_engagement,"I wish there was more two-way dialogue in our team.",Manager Effectiveness,negative,-0.45,2024-01-26
13,employee_engagement,"My manager advocates for our team effectively.",Manager Effectiveness,positive,0.88,2024-01-27
14,employee_engagement,"Important decisions are made without consulting the team.",Manager Effectiveness,negative,-0.76,2024-01-28
15,employee_engagement,"Communication is generally okay but could improve.",Manager Effectiveness,neutral,0.08,2024-01-29
16,employee_engagement,"I receive timely updates about project changes.",Manager Effectiveness,positive,0.65,2024-01-30
17,employee_engagement,"My manager rarely acknowledges my contributions.",Manager Effectiveness,negative,-0.71,2024-02-01
18,employee_engagement,"Team communication has improved significantly this quarter.",Manager Effectiveness,positive,0.79,2024-02-02
19,employee_engagement,"There's too much bureaucracy in getting information.",Manager Effectiveness,negative,-0.58,2024-02-03
20,employee_engagement,"My manager gives clear and actionable feedback.",Manager Effectiveness,positive,0.86,2024-02-04
21,employee_engagement,"I don't feel heard when I raise concerns.",Manager Effectiveness,negative,-0.83,2024-02-05
22,employee_engagement,"The leadership team communicates vision well.",Manager Effectiveness,positive,0.71,2024-02-06
23,employee_engagement,"Messages from leadership are often confusing.",Manager Effectiveness,negative,-0.52,2024-02-07
24,employee_engagement,"My manager is a great communicator.",Manager Effectiveness,positive,0.92,2024-02-08
25,employee_engagement,"There's a disconnect between what's said and what's done.",Manager Effectiveness,negative,-0.69,2024-02-09
26,employee_engagement,"I see a clear path for advancement in my role.",Growth & Development,positive,0.87,2024-01-15
27,employee_engagement,"There are no opportunities for promotion here.",Growth & Development,negative,-0.89,2024-01-16
28,employee_engagement,"The company invests in my professional development.",Growth & Development,positive,0.84,2024-01-17
29,employee_engagement,"I feel stuck in my current position with no way forward.",Growth & Development,negative,-0.91,2024-01-18
30,employee_engagement,"Training programs have helped me grow my skills.",Growth & Development,positive,0.79,2024-01-19
31,employee_engagement,"Career paths are unclear and not well defined.",Growth & Development,negative,-0.73,2024-01-20
32,employee_engagement,"I've been promoted twice since joining.",Growth & Development,positive,0.95,2024-01-21
33,employee_engagement,"Talented people leave because there's no growth.",Growth & Development,negative,-0.85,2024-01-22
34,employee_engagement,"Mentorship opportunities are available and helpful.",Growth & Development,positive,0.81,2024-01-23
35,employee_engagement,"I haven't had a meaningful career conversation in over a year.",Growth & Development,negative,-0.78,2024-01-24
36,employee_engagement,"Leadership development programs are excellent.",Growth & Development,positive,0.88,2024-01-25
37,employee_engagement,"The promotion process is unfair and biased.",Growth & Development,negative,-0.87,2024-01-26
38,employee_engagement,"I'm learning new skills every day in my role.",Growth & Development,positive,0.76,2024-01-27
39,employee_engagement,"There's no budget for training or conferences.",Growth & Development,negative,-0.65,2024-01-28
40,employee_engagement,"My manager supports my career aspirations.",Growth & Development,positive,0.83,2024-01-29
41,employee_engagement,"I've been in the same role for 5 years with no change.",Growth & Development,negative,-0.82,2024-01-30
42,employee_engagement,"The company offers tuition reimbursement which I use.",Growth & Development,positive,0.77,2024-02-01
43,employee_engagement,"Growth opportunities seem reserved for certain people.",Growth & Development,negative,-0.74,2024-02-02
44,employee_engagement,"I can see myself building a long career here.",Growth & Development,positive,0.89,2024-02-03
45,employee_engagement,"My skills are not being utilized or developed.",Growth & Development,negative,-0.71,2024-02-04
46,employee_engagement,"Career growth is possible if you work for it.",Growth & Development,neutral,0.15,2024-02-05
47,employee_engagement,"There are some opportunities but not enough.",Growth & Development,neutral,-0.12,2024-02-06
48,employee_engagement,"Internal mobility is encouraged and supported.",Growth & Development,positive,0.82,2024-02-07
49,employee_engagement,"I don't see a future for myself at this company.",Growth & Development,negative,-0.93,2024-02-08
50,employee_engagement,"The career framework is clear and motivating.",Growth & Development,positive,0.86,2024-02-09
51,employee_engagement,"The flexible work policy has been life-changing.",Work-Life Balance,positive,0.94,2024-01-15
52,employee_engagement,"I'm expected to be available 24/7 which is exhausting.",Work-Life Balance,negative,-0.88,2024-01-16
53,employee_engagement,"I can take time off when I need it without guilt.",Work-Life Balance,positive,0.85,2024-01-17
54,employee_engagement,"Work constantly spills into my personal time.",Work-Life Balance,negative,-0.79,2024-01-18
55,employee_engagement,"Remote work options have improved my quality of life.",Work-Life Balance,positive,0.91,2024-01-19
56,employee_engagement,"The workload is unsustainable and burning me out.",Work-Life Balance,negative,-0.92,2024-01-20
57,employee_engagement,"My manager respects boundaries around work hours.",Work-Life Balance,positive,0.83,2024-01-21
58,employee_engagement,"There's an unspoken expectation to work weekends.",Work-Life Balance,negative,-0.75,2024-01-22
59,employee_engagement,"The company genuinely cares about employee wellbeing.",Work-Life Balance,positive,0.87,2024-01-23
60,employee_engagement,"I haven't taken a real vacation in two years.",Work-Life Balance,negative,-0.84,2024-01-24
61,employee_engagement,"Wellness programs have been beneficial.",Work-Life Balance,positive,0.72,2024-01-25
62,employee_engagement,"Meeting overload leaves no time for actual work.",Work-Life Balance,negative,-0.67,2024-01-26
63,employee_engagement,"I have enough time for family and hobbies.",Work-Life Balance,positive,0.89,2024-01-27
64,employee_engagement,"The pace of work is relentless and unhealthy.",Work-Life Balance,negative,-0.86,2024-01-28
65,employee_engagement,"Flexible hours allow me to manage personal commitments.",Work-Life Balance,positive,0.81,2024-01-29
66,employee_engagement,"Work-life balance is just a slogan here, not reality.",Work-Life Balance,negative,-0.91,2024-01-30
67,employee_engagement,"I feel energized and not overworked.",Work-Life Balance,positive,0.78,2024-02-01
68,employee_engagement,"Deadlines are unrealistic and cause stress.",Work-Life Balance,negative,-0.73,2024-02-02
69,employee_engagement,"The hybrid model works well for my lifestyle.",Work-Life Balance,positive,0.86,2024-02-03
70,employee_engagement,"I'm constantly stressed about workload.",Work-Life Balance,negative,-0.81,2024-02-04
71,employee_engagement,"Balance is achievable in my current role.",Work-Life Balance,neutral,0.21,2024-02-05
72,employee_engagement,"Some weeks are better than others for balance.",Work-Life Balance,neutral,0.05,2024-02-06
73,employee_engagement,"Mental health days are supported and encouraged.",Work-Life Balance,positive,0.88,2024-02-07
74,employee_engagement,"I feel guilty taking time off even when sick.",Work-Life Balance,negative,-0.69,2024-02-08
75,employee_engagement,"The workload is manageable most of the time.",Work-Life Balance,positive,0.68,2024-02-09
76,employee_engagement,"I feel genuinely appreciated for my work here.",Recognition & Respect,positive,0.82,2024-01-15
77,employee_engagement,"My contributions go unnoticed by leadership.",Recognition & Respect,negative,-0.87,2024-01-16
78,employee_engagement,"The recognition program is meaningful and fair.",Recognition & Respect,positive,0.89,2024-01-17
79,employee_engagement,"Hard work is not rewarded or acknowledged.",Recognition & Respect,negative,-0.71,2024-01-18
80,employee_engagement,"I receive regular praise from my manager.",Recognition & Respect,positive,0.78,2024-01-19
81,employee_engagement,"Only certain people get recognized around here.",Recognition & Respect,negative,-0.76,2024-01-20
82,employee_engagement,"The employee awards program is motivating.",Recognition & Respect,positive,0.85,2024-01-21
83,employee_engagement,"I feel invisible despite working extra hours.",Recognition & Respect,negative,-0.83,2024-01-22
84,employee_engagement,"Peer recognition is encouraged and common.",Recognition & Respect,positive,0.81,2024-01-23
85,employee_engagement,"There's no acknowledgment when projects succeed.",Recognition & Respect,negative,-0.62,2024-01-24
86,employee_engagement,"Leadership celebrates team wins publicly.",Recognition & Respect,positive,0.91,2024-01-25
87,employee_engagement,"Recognition feels performative and insincere.",Recognition & Respect,negative,-0.79,2024-01-26
88,employee_engagement,"I'm treated with respect by everyone here.",Recognition & Respect,positive,0.84,2024-01-27
89,employee_engagement,"Some managers play favorites with recognition.",Recognition & Respect,negative,-0.58,2024-01-28
90,employee_engagement,"My ideas are valued and taken seriously.",Recognition & Respect,positive,0.77,2024-01-29
91,employee_engagement,"Credit is often given to the wrong people.",Recognition & Respect,negative,-0.85,2024-01-30
92,employee_engagement,"I feel respected as a professional here.",Recognition & Respect,positive,0.79,2024-02-01
93,employee_engagement,"Recognition is inconsistent across teams.",Recognition & Respect,negative,-0.67,2024-02-02
94,employee_engagement,"Spot bonuses show appreciation for extra effort.",Recognition & Respect,positive,0.71,2024-02-03
95,employee_engagement,"I rarely hear thank you for my work.",Recognition & Respect,negative,-0.72,2024-02-04
96,employee_engagement,"Recognition happens but could be more frequent.",Recognition & Respect,neutral,0.11,2024-02-05
97,employee_engagement,"Some teams are better at recognition than others.",Recognition & Respect,neutral,-0.08,2024-02-06
98,employee_engagement,"Annual awards ceremony is a highlight.",Recognition & Respect,positive,0.76,2024-02-07
99,employee_engagement,"I don't feel my manager values my input.",Recognition & Respect,negative,-0.55,2024-02-08
100,employee_engagement,"Being recognized publicly boosted my morale.",Recognition & Respect,positive,0.88,2024-02-09
101,employee_engagement,"My team collaborates effectively on projects.",Collaboration,positive,0.86,2024-01-15
102,employee_engagement,"Siloed teams make cross-functional work difficult.",Collaboration,negative,-0.74,2024-01-16
103,employee_engagement,"We have a supportive and helpful team culture.",Collaboration,positive,0.92,2024-01-17
104,employee_engagement,"There's too much competition between teams.",Collaboration,negative,-0.68,2024-01-18
105,employee_engagement,"Knowledge sharing happens naturally in our group.",Collaboration,positive,0.83,2024-01-19
106,employee_engagement,"People hoard information instead of sharing.",Collaboration,negative,-0.77,2024-01-20
107,employee_engagement,"Cross-team projects run smoothly here.",Collaboration,positive,0.79,2024-01-21
108,employee_engagement,"Collaboration tools are outdated and frustrating.",Collaboration,negative,-0.61,2024-01-22
109,employee_engagement,"My colleagues are always willing to help.",Collaboration,positive,0.89,2024-01-23
110,employee_engagement,"Remote work has hurt team cohesion.",Collaboration,negative,-0.53,2024-01-24
111,employee_engagement,"Team building activities bring us closer.",Collaboration,positive,0.75,2024-01-25
112,employee_engagement,"Different departments don't communicate well.",Collaboration,negative,-0.71,2024-01-26
